latitude,longitude,name,comments,rating,cp
19.4342786,-99.1635715,OXXO Sullivan,13,3.9,11350
19.4493779,-99.1600231,Oxxo,17,2.9,11350
19.4625094,-99.1784694,Oxxo Egipto,10,3.1,11350
19.447683,-99.1624357,Oxxo Cedro,10,3.3,11350
19.4702428,-99.1786906,OXXO Salonica,374,3.9,11350
19.4563833,-99.1807509,Oxxo Popotla,18,2.7,11350
19.4485064,-99.1562344,Oxxo,31,2.7,11350
19.4318035,-99.1732996,Oxxo Anzures,25,2.3,11350
19.4548353,-99.1553594,Oxxo,7,2.9,11350
19.431074,-99.1636868,Oxxo,51,4.2,11350
19.4687276,-99.1762772,Oxxo,5,2.6,11350
19.4575971,-99.1448261,Oxxo,28,3.2,11350
19.4382142,-99.1905729,Oxxo,27,2.6,11350
19.470469,-99.1897905,Oxxo,15,3.8,11350
19.4624604,-99.1883411,Oxxo Tehuantepec,25,3.2,11350
19.4430399,-99.1923172,OXXO Lago Hielmar,17,2.6,11350
19.4381474,-99.1648031,OXXO Guillermo Prieto,22,2.9,11350
19.4419869,-99.1830897,Oxxo,179,3.8,11350
19.4528604,-99.1891823,Oxxo San Matías,9,1.8,11350
19.4456752,-99.1989909,Oxxo,68,4.2,11350
19.4791625,-99.1477791,Oxxo,11,3.9,11350
19.4829074,-99.1992453,Oxxo Petrolera,90,4.3,11350
19.4451462,-99.1472471,OXXO MOSQUETA,11,2.6,11350
19.4711275,-99.1590456,Oxxo,59,4.1,11350
19.441403,-99.1628389,Oxxo Gabino barreda,15,2.8,11350
19.4626714,-99.1916751,Oxxo,27,2.7,11350
19.4394981,-99.1539673,OXXO Metro Revolución,2,4.5,11350
19.4292689,-99.1782537,Oxxo Darwin II,31,3.5,11350
19.4316655,-99.1619073,Oxxo Marne,12,2.1,11350
19.4481738,-99.1522616,Oxxo,1,3.7,11350
19.4962356,-99.1737881,OXXO,6,3.3,11350
19.4460954,-99.1534946,Oxxo,14,2.6,11350
19.4528524,-99.1582577,Onix Oxxo,24,3.6,11350
19.4375804,-99.1880746,Oxxo Hegel,26,3.2,11350
19.4371977,-99.153686,OXXO Revolución,25,2.4,11350
19.432866,-99.1656024,OXXO Nazas,8,2.9,11350
19.4551643,-99.1578241,OXXO Naranjo,10,3.5,11350
19.4780124,-99.200186,OXXO Cantemoc,10,2.8,11350
19.4358074,-99.2089373,Oxxo,17,3.2,11350
19.4587322,-99.1849483,Oxxo Mar,106,3.9,11350
19.439476,-99.1554,OXXO Ezequiel Montes,9,3.8,11350
19.4650162,-99.1803736,Oxxo Clavería,18,3.7,11350
19.4588081,-99.2041077,Oxxo Argentina,11,2.2,11350
19.463926,-99.1699135,Oxxo,250,3.9,11350
19.4373073,-99.2118557,Oxxo,12,2.8,11350
19.4412492,-99.1581765,OXXO,1,4.0,11350
19.4166171,-99.1566781,Oxxo,16,1.9,11350
19.4465734,-99.1446392,Oxxo,29,3.2,11350
19.4346481,-99.1589689,OXXO Sadi Carnot,29,2.6,11350
19.456937,-99.2148213,Oxxo,9,2.8,11350
19.4118516,-99.1660675,Oxxo,10,3.2,11350
19.4276597,-99.1762207,Oxxo Descartes,72,3.7,11350
19.455906,-99.1285074,Oxxo Estaño 1,8,2.8,11350
