latitude,longitude,name,comments,rating,Address,Neighborhood,City,Postal,Subregion,Region,Bajo,Medio Bajo,Medio Alto,Alto
19.4031266,-99.1132328,Oxxo Azafrán,16.0,4.8,Azúcar 161,Aeropuerto,Granjas México,08400,iztacalco,ciudad de méxico,,32,35,20
19.4030928,-99.1132273,OXXO Oficinas Plaza Ajusco,41.0,4.2,Azúcar 161,Aeropuerto,Granjas México,08400,iztacalco,ciudad de méxico,,32,35,20
19.3666136,-99.0748394,Oxxo Rafael Atlixco,11.0,3.9,Avenida Ferrocarril San Rafael Atlixco 128,,Guadalupe del Moral,09300,iztapalapa,ciudad de méxico,,193,109,24
19.3909057,-99.0665001,Oxxo sur 20,6.0,2.3,Retorno 5 Sur 16,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3928507,-99.0793111,Oxxo Rene,1.0,5.0,Oriente 233,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3918345,-99.061866,OXXO SUR 8,13.0,3.5,Oriente 259 197,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3870606,-99.0671435,Oxxo Sur 24,,,Sur 24,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3936123,-99.0678492,Oxxo oriente 249,,,Sur 16,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3871352,-99.067052,Oxxo calle 24,6.0,4.0,Sur 24 235,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3879361,-99.0724603,Oxxo Impa,4.0,2.5,Sur 24,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3854914,-99.0524661,Oxxo ANTONIO DE LEON,5.0,3.6,Constitución Apatzingán,,Unidad Hab Reforma Educativa,09219,iztapalapa,ciudad de méxico,,193,109,24
19.3854602,-99.0352839,OXXO,3.0,3.9,Calzada Ignacio Zaragoza 2012,,Juan Escutia,09100,iztapalapa,ciudad de méxico,,193,109,24
19.3875274,-99.0292667,Oxxo Antillano,50.0,3.7,Avenida Texcoco,,Juan Escutia,09100,iztapalapa,ciudad de méxico,,193,109,24
19.326198,-99.0366037,Oxxo Franqueza.,23.0,3.5,Avenida Villa Franqueza,,Desarrollo Urbano Quetzalcóatl,09700,iztapalapa,ciudad de méxico,,193,109,24
19.381148,-99.0151981,OXXO,20.0,2.4,Avenida Texcoco,,General José Vicente Villada,57710,nezahualcoyotl,méxico,,139,32,5
19.3923883,-99.1003724,Oxxo Circuito Oriente,112.0,4.3,Avenida Río Churubusco 2108,,Gabriel Ramos Millán,08730,iztacalco,ciudad de méxico,,32,35,20
19.3791835,-99.1344325,Oxxo Suc. 50ple-playa Encantada Mex,1.0,5.0,Playa Encantada,,Reforma Iztaccíhuatl Sur,08840,iztacalco,ciudad de méxico,,32,35,20
19.3615888,-99.0955206,Oxxo pachicalco,2.0,3.0,Avenida 5 de Mayo,,Barrio San Lucas,09000,iztapalapa,ciudad de méxico,,193,109,24
19.3439955,-99.0585116,OXXO,20.0,3.0,Profesor Jesús Romero Flores,,Constitución de 1917,09260,iztapalapa,ciudad de méxico,,193,109,24
19.3442004,-99.0649025,OXXO Begonia,89.0,3.6,Calle Begonia,,Los Ángeles,09830,iztapalapa,ciudad de méxico,,193,109,24
19.3462744,-99.0636848,Oxxo,21.0,3.0,Eje 8 Sur,,Constitución de 1917,09260,iztapalapa,ciudad de méxico,,193,109,24
19.3418626,-99.0628521,OXXO ANGELES MEX,20.0,3.1,Avenida Canal de Garay,,Los Ángeles,09830,iztapalapa,ciudad de méxico,,193,109,24
19.3591475,-99.0401589,OXXO las torres II,40.0,3.4,Avenida Guelatao 45,,Santa María Aztahuacán,09570,iztapalapa,ciudad de méxico,,193,109,24
19.3423344,-99.052536,Oxxo,26.0,3.4,Calle 2 de Abril 6,,Jacarandas,09280,iztapalapa,ciudad de méxico,,193,109,24
19.3380775,-99.0322342,Oxxo Pozos,93.0,3.3,3ra Cerrada de las Torres 113,,Reforma Política,09730,iztapalapa,ciudad de méxico,,193,109,24
19.3444897,-99.0117635,OXXO avenida primavera,134.0,3.8,Avenida Primavera,,2da Ampl Santiago Acahualtepec,09609,iztapalapa,ciudad de méxico,,193,109,24
19.3456418,-99.0212039,OXXO LAS PALMAS,22.0,3.8,Avenida de las Palmas,,Santa María Aztahuacán,09570,iztapalapa,ciudad de méxico,,193,109,24
19.3371261,-99.0427192,Oxxo Quetzalcoatl ll,11.0,3.1,Avenida Insurgentes,,Desarrollo Urbano Quetzalcóatl,09700,iztapalapa,ciudad de méxico,,193,109,24
19.3521146,-99.0245116,OXXO Pueblo Aztahuacan,142.0,4.2,Calle Ejército Nacional 14,,Santa María Aztahuacán,09570,iztapalapa,ciudad de méxico,,193,109,24
19.3529229,-99.0997461,OXXO Avenida estrella,8.0,3.0,Calle Puente Titla,,Ricardo Flores Magón,09820,iztapalapa,ciudad de méxico,,193,109,24
19.3432271,-99.0439233,Oxxo Moreliana,23.0,3.2,Calzada Ermita Iztapalapa,,Unidad Hab Santa Cruz Meyehualco,09290,iztapalapa,ciudad de méxico,,193,109,24
19.3446786,-99.0291441,OXXO TAVARES MEX,26.0,3.7,Eje 8 Sur 4000,,Santa María Aztahuacán,09570,iztapalapa,ciudad de méxico,,193,109,24
